Date,Fund,Product,Book,ProductClass,Vega Notional,Financial PnL, NAV 
1/19/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-46500.00,47111.89238,973746114.44
1/19/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-36800.00,106237.7476,973746114.44
1/19/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-93000.00,100875.7444,973746114.44
1/19/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,-46500.00,153092.4997,973746114.44
1/19/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-25000.20,135208.1698,973746114.44
1/18/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-46500.00,2447.389817,969097801.02
1/18/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-36800.00,90.55160904,969097801.02
1/18/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,-93000.00,13176.16419,969097801.02
1/18/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-46500.00,4643.341075,969097801.02
1/18/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,5024.526918,969097801.02
1/15/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,0.00,-23896.61743,1015253364.89
1/15/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-46500.00,-2554.384277,1015253364.89
